LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12
12.87249,75.2508,0.93,0.157520407,703,1166,1609,2315,2480,3170.5,3460.5,3554,3551.5,3297.5,3942.5,2571
12.872499,75.250821,1.23,0.157520407,703,956.5,1322,1782,2480,3170.5,3460.5,3223.5,3551.5,3297.5,3942.5,2571
12.846098,74.98332,0.85,0.289719626,565.5,1093,1414,1748,1615,2749,3147.5,3174,3456.5,3277.5,2836.5,1761
12.846098,74.98332,0.45,0.289719626,565.5,1093,1414,1748,1615,2749,3147.5,3174,3456.5,3277.5,2836.5,1761
12.876217,75.234327,0.23,0.233648542,567,2121,2313,2683,2253.5,2736.5,3060.5,3520,3203,3080.5,3662,2917
12.84743,74.98765,0.74,0.251464435,633.5,1007.5,1356,1762,2115.5,2553.5,2849,3079,3257.5,3180,4224.5,3104.5
12.84821,74.9875,0.93,0.295124851,735,967,1243,1594,1970,2349.5,2645.5,2718,2921.5,3005.5,3941.5,2882.5
12.84821,74.9875,1.23,0.295124851,735,967,1243,1594,1970,2349.5,2645.5,2718,2921.5,3005.5,3941.5,2882.5
13.01722222,74.81722222,1.24,0.207077953,574.5,928,1223,1492,1863.5,2169.5,2423,2329,2644,2877.5,3485,2650.5
13.01722222,74.81722222,1.38,0.207077953,574.5,928,1223,1492,1863.5,2169.5,2423,2329,2644,2877.5,3485,2650.5
13.01722222,74.81722222,1.26,0.207077953,574.5,928,1223,1492,1863.5,2169.5,2423,2329,2644,2877.5,3485,2650.5
13.01722222,74.81722222,1.29,0.207077953,574.5,928,1223,1492,1863.5,2169.5,2423,2329,2644,2877.5,3485,2650.5
13.01722222,74.81722222,1.05,0.207077953,574.5,928,1223,1492,1863.5,2169.5,2423,2329,2644,2877.5,3485,2650.5
13.01722222,74.81722222,1.29,0.207077953,574.5,928,1223,1492,1863.5,2169.5,2423,2329,2644,2877.5,3485,2650.5
12.84994,74.9860504,0.83,0.267573696,835,1049.5,1311,1632,1973.5,2402,2649.5,2822,2988.5,3037.5,4537,3201.5
12.84994,74.9860504,0.99,0.267573696,835,1049.5,1311,1632,1973.5,2402,2649.5,2822,2988.5,3037.5,4537,3201.5
12.86528,75.24002,0.36,0.257815466,699,852,1178,1466,1899.5,2381.5,2667.5,2484.5,2764.5,2942,3355,2557
12.851726,74.98013,0.85,0.23100132,1029.5,1247,1660,1857,2191,2734,3104.5,3249,3439.5,3361.5,4219.5,2933.5
12.851726,74.98013,1.6,0.23100132,1029.5,1247,1660,1857,2191,2734,3104.5,3249,3439.5,3361.5,4219.5,2933.5
