LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
12.88014,75.2473,0.73,0.241655541,727.5,1262,1544,1846,2085,2652.5,2907.5,3022.5,3081.5,3145,2939,2271,4,0.877592027,0.219398007,0.238735572,0.042226624,0.147053212,0.253067672,0.10601446,0.147053212,0.147053212,4,0.001783088
12.88015,75.24731,0.62,0.241655541,727.5,1262,1544,1846,2085,2652.5,2907.5,3022.5,3081.5,3145,2939,2271,3,0.641776428,0.213925476,0.241655543,0.047514797,0.147053212,0.253067672,0.10601446,0.147053212,0.147053212,3,0.002257656
12.88016,75.24732,1.15,0.241655541,727.5,1262,1544,1846,2085,2652.5,2907.5,3022.5,3081.5,3145,2939,2271,3,0.641776428,0.213925476,0.241655543,0.047514797,0.147053212,0.253067672,0.10601446,0.147053212,0.147053212,3,0.002257656
12.85344,74.975737,1.47,0.238636364,1190,1225,1780,1982,2456.5,2987,3323.5,3328,3492,3559.5,4016,3016.5,4,0.864689142,0.216172285,0.213814259,0.030405725,0.183576643,0.253483981,0.069907337,0.183576643,0.183576643,4,0.000924508
13.01222222,74.82416667,1.15,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601,3,0.665453613,0.221817871,0.205777779,0.022684115,0.205777779,0.253898054,0.048120275,0.253898054,0.205777779,2,0.000514569
13.01222222,74.82416667,1.11,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601,3,0.665453613,0.221817871,0.205777779,0.022684115,0.205777779,0.253898054,0.048120275,0.253898054,0.205777779,2,0.000514569
13.01222222,74.82416667,0.92,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601,3,0.665453613,0.221817871,0.205777779,0.022684115,0.205777779,0.253898054,0.048120275,0.253898054,0.205777779,2,0.000514569
12.85256,74.97432,0.7,0.254488247,1123.5,1281,1790,2014,2574,3200,3470,3389,3610.5,3353.5,4161,3039.5,4,0.961473852,0.240368463,0.243170977,0.015026058,0.22002241,0.255109489,0.035087079,0.22002241,0.22002241,4,0.000225782
12.85256,74.97432,0.77,0.254488247,1123.5,1281,1790,2014,2574,3200,3470,3389,3610.5,3353.5,4161,3039.5,4,0.961473852,0.240368463,0.243170977,0.015026058,0.22002241,0.255109489,0.035087079,0.22002241,0.22002241,4,0.000225782
12.877941,75.23666,0.33,0.248755669,709.5,832.5,1233,1698,2011.5,2510.5,2787.5,2822.5,2944,2813.5,3178.5,2199.5,3,0.733952373,0.244650791,0.248755664,0.011635973,0.228797764,0.256398946,0.027601182,0.228797764,0.228797764,3,0.000135396
12.877942,75.23667,0.36,0.248755669,709.5,832.5,1233,1698,2011.5,2510.5,2787.5,2822.5,2944,2813.5,3178.5,2199.5,3,0.733952373,0.244650791,0.248755664,0.011635973,0.228797764,0.256398946,0.027601182,0.228797764,0.228797764,3,0.000135396
13.01861111,74.81583333,1.19,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5,2,0.45202817,0.226014085,0.226014085,0.035137735,0.19087635,0.26115182,0.070275471,0.19087635,0.19087635,2,0.00123466
13.01861111,74.81583333,1.29,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5,2,0.45202817,0.226014085,0.226014085,0.035137735,0.19087635,0.26115182,0.070275471,0.19087635,0.19087635,2,0.00123466
13.01861111,74.81583333,1.31,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5,2,0.45202817,0.226014085,0.226014085,0.035137735,0.19087635,0.26115182,0.070275471,0.19087635,0.19087635,2,0.00123466
13.01861111,74.81583333,1.26,0.190876351,656.5,1090,1462,2022,2072,2543,2812,2976,3119,2986,3696,2644.5,2,0.45202817,0.226014085,0.226014085,0.035137735,0.19087635,0.26115182,0.070275471,0.19087635,0.19087635,2,0.00123466
13.02027778,74.81472222,1.37,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011,3,0.67805694,0.22601898,0.20978874,0.025732814,0.205925927,0.262342274,0.056416348,0.205925927,0.205925927,3,0.000662178
13.02027778,74.81472222,0.96,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011,3,0.67805694,0.22601898,0.20978874,0.025732814,0.205925927,0.262342274,0.056416348,0.205925927,0.205925927,3,0.000662178
13.02027778,74.81472222,0.78,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011,3,0.67805694,0.22601898,0.20978874,0.025732814,0.205925927,0.262342274,0.056416348,0.205925927,0.205925927,3,0.000662178
13.02027778,74.81472222,1.13,0.262342263,570.5,1123,1496,1889,2310,2534.5,2800.5,2892,3200.5,2993.5,4173,3011,3,0.67805694,0.22601898,0.20978874,0.025732814,0.205925927,0.262342274,0.056416348,0.205925927,0.205925927,3,0.000662178
12.85428,74.975712,1.03,0.263416816,1025,1293,1604,1870,2088.5,2562.5,2845,2740,3043,3182,3797.5,2823.5,4,0.968873799,0.24221845,0.258368403,0.030959016,0.188720167,0.263416827,0.07469666,0.188720167,0.188720167,4,0.000958461
